V1,A.S. President,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,
ResponseID,Darth Vader - Meat Party,Write-In,Write-In-TEXT,Kylo Ren - Vegan Party,Boba Fett - Candy Party,Yoda - Vegan Party,Write-In,Write-In-TEXT,Luke Skywalker - Candy Party,General Leia - Meat Party,Captain America - Candy Party,Write-In,Write-In-TEXT,Iron Man - Meat Party,Hulk - Vegan Party,Ant Man - Vegan Party,Write-In,Write-In-TEXT,Black Widow - Meat Party,War Machine- Candy Party,Nick Fury - Meat Party,Write-In,Write-In-TEXT,Phil Coulson - Vegan Party,Loki - Candy Party,Marty McFy - Meat Party,Write-In,Write-In-TEXT,Biff Tannen - Meat Party,Doc Brown - Candy Party,Einstein - Vegan Party,Copernicus - Vegan Party,Bruce Banner - Meat Party,Write-In,Write-In-TEXT,Clark Kent - Vegan Party,Bruce Wayne - Meat Party,Write-In,Write-In-TEXT,Batman - Candy Party,Michael Peregrine - Vegan Party,Kerman Howell - Meat Party,Henrika Anton - Vegan Party,Johanna Matilda - Candy Party,August Lochlainn - Meat Party,Leo Chinwendu - Vegan Party,Emmanuel Sebesty_n - Candy Party,Jafet Raharjo - Meat Party,Rasha Kreios - Vegan Party,Pasquale Ciannait - Candy Party,Miranda Placidus - Meat Party,Sylvia Trinidad - Vegan Party,Kresimir Ata - Candy Party,Mitchell Horace - Meat Party,Tanja Dominik - Vegan Party,Chipo Nagi - Candy Party,Corine Hildegard - Meat Party,Marybeth Joana - Vegan Party,Sarah Khayri - Candy Party,Judocus Ziva - Meat Party,Rosalia Quintina - Vegan Party,Lene Jordan - Candy Party,Stana Isidore - Meat Party,Pluto Rexana - Vegan Party,Libitina Laurentia - Meat Party,Allon Vibeke - Vegan Party,Spartacus Val_rian - Meat Party,Hestia Christianne - Vegan Party,Lyla Mervin - Meat Party,Ita Constantine - Vegan Party,Patrizia Ansel - Meat Party,Verica Edda - Vegan Party,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Harley Quinn - Candy Party,The Joker - Meat Party,Deadshot - Meat Party,Killer Crok - Vegan Party,Slade Wilson - Vegan Party,Poison Ivy - Vegan Party,Amanda Waller - Candy Party,Rouge - Candy Party,Write-In,Write-In-TEXT,Wolverine - Meat Party,
R_37R7IFNVmCR3hnn,1,,,,2,2,,,1,3,1,3,Mickey Mouse,,2,,,,1,,2,,,1,,1,,,3,2,,,,,,,,,,,,,,,4,,,1,,,,,,,,,6,8,,2,,10,5,,9,,3,,,,7,,,,,,,,,,,,,,,,,
R_3kMIUoW9ikm4Qjh,,2,Bob Dole,,1,,,,,1,1,,,2,3,3,,,1,2,1,,,2,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,3,,,,,,
R_1f0A1eQvDGZMsCt,2,,,1,,1,4,Bill Clinton,3,2,,,,,1,,,,2,1,,,,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_eqSZUDirxpBZ6Kx,,1,Satan,2,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,,2,,,,,,
R_8ojHp3cLgOIvXuJ,3,,,2,1,3,,,2,1,3,,,2,1,2,,,3,1,1,,,3,2,4,,,1,3,2,,,,,,,,,,8,,,,11,,,,,,,3,7,,,,4,13,,,10,12,,,2,5,6,1,,,9,,,,,,,,,,,,,,,,,
R_81Z2ngZ7tu1edr7,3,2,"Viverra fusce, wisi proin metus ab pharetra! Dolor malesuada ridiculus dapibus accumsan ullamcorper, fermentum, vel.",1,4,,,,,,2,1,Ipsum dui per turpis quis proin dignissim consectetuer purus. Cursus imperdiet.,4,3,,1,Praesent at justo sit luctus ac est quam. Ut imperdiet? Ipsum.,,2,,2,Id? Neque tempus nullam convallis ut tempora vestibulum? Potenti! Odio. Rhoncus rhoncus magna at nunc.,1,,2,1,"Ullamcorper in sodales rhoncus in luctus in, quam erat aliquet ab? Orci aliquam, commodo gravida.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_3xQFSShM4GrhcKF,,1,Fermentum! Maecenas nullam tellus sit nullam. Vulputate lectus erat placerat rhoncus in imperdiet mauris tempor.,2,3,,,,,,,,,,,2,1,Nunc pharetra pellentesque fermentum enim vehicula lorem. Porta diam. Accusamus. Temporibus cursus.,,,3,2,Metus viverra. Odio? Tortor iaculis felis vivamus massa sit tincidunt purus praesent.,1,4,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0uJOhV7Esf7dccB,2,,,1,3,1,,,3,2,3,,,2,1,1,,,2,3,2,,,1,3,3,,,4,,2,1,,,,,,,,,1,,6,,,4,,,10,,,7,,,2,,,11,,,8,,,5,,13,,3,,9,,12,,,,,,,,,,,,,,,,
R_8vn36mzNdeWJVdz,2,,,,1,1,,,2,,,,,2,1,,,,2,1,2,,,,1,4,,,3,2,,1,,,,,,,,,,,,,8,,,13,,12,,,,1,6,,,,10,7,11,2,,,,4,,3,9,,,5,,,,,,,,,,,,,,,,
