startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,QID2_1,QID2_2,QID2_3,QID2_4,QID2_4_TEXT,QID3_1,QID3_2,QID3_3,QID3_4,QID3_5,QID3_6,QID3_7,QID3_7_TEXT,QID3_7_TEXT_588088030ef9450b8bd56816Topic0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,President_1 - Pizza - Meat Party,President_2 - Soup - Vegan Party,President_3 - Popcorn - Candy Party,President_4 - Write-In,President_4_TEXT - Write-In,Senator_1 - Cucumber - Vegan Party,Senator_2 - Drumstick - Meat Party,Senator_3 - Licorice - Candy Party,Senator_4 - Gumdrop - Candy Party,Senator_5 - Steak - Meat Party,Senator_6 - Salad - Vegan Party,Senator_7 - Write-In,Senator_7_TEXT - Write-In,Q3_7_TEXT - Topics
11/23/16 14:56,11/23/16 14:56,IP Address,192.168.1.1,100,16,TRUE,11/23/16 14:56,R_1pyxEq3okOMKuCK,,,,,34.4141859,-119.859201,anonymous,1,,2,,,,,2,,1,,,,
11/23/16 14:56,11/23/16 14:57,IP Address,192.168.1.1,100,25,TRUE,11/23/16 14:57,R_snuTjsTEyNk6x1v,,,,,34.4141859,-119.859201,anonymous,2,3,1,4,Cheese,,,1,2,,,3,Granola,Unknown
11/23/16 14:57,11/23/16 14:57,IP Address,192.168.1.1,100,10,TRUE,11/23/16 14:57,R_2b0LRxSsLMA1e2Q,,,,,34.4141859,-119.859201,anonymous,2,1,,,,2,,,,1,,,,
11/23/16 14:57,11/23/16 14:58,IP Address,192.168.1.1,100,21,TRUE,11/23/16 14:58,R_1CpE7wTodikcThv,,,,,34.4141859,-119.859201,anonymous,,1,,2,Banana,,,1,2,,3,,,
11/23/16 15:02,11/23/16 15:03,IP Address,192.168.1.1,100,35,TRUE,11/23/16 15:03,R_D7bRZau3isS5HJ7,,,,,34.4141859,-119.859201,anonymous,2,3,1,,,3,,,1,,2,,,
11/23/16 15:03,11/23/16 15:03,IP Address,192.168.1.1,100,13,TRUE,11/23/16 15:03,R_3oO7lhNvXkEitmK,,,,,34.4141859,-119.859201,anonymous,,1,2,,,2,,3,,1,,,,
11/23/16 15:03,11/23/16 15:04,IP Address,192.168.1.1,100,13,TRUE,11/23/16 15:04,R_SV38qLSCOhs6Lvz,,,,,34.4141859,-119.859201,anonymous,,,1,,,2,,,,3,,1,Apple,Unknown
11/23/16 15:04,11/23/16 15:04,IP Address,192.168.1.1,100,17,TRUE,11/23/16 15:04,R_31MFuRkFVke16wG,,,,,34.4141859,-119.859201,anonymous,1,,2,,,,1,,3,2,,,,
11/23/16 15:04,11/23/16 15:04,IP Address,192.168.1.1,100,28,TRUE,11/23/16 15:04,R_2uQUlgJxO1IRQGK,,,,,34.4141859,-119.859201,anonymous,,,1,,,,,1,2,,,,,
11/23/16 15:10,11/23/16 15:10,IP Address,192.168.1.1,100,23,TRUE,11/23/16 15:10,R_DGgRJ5JN06xw06d,,,,,34.4141859,-119.859201,anonymous,,1,,,,2,,,,,1,3,Potato,Unknown
11/23/16 15:10,11/23/16 15:10,IP Address,192.168.1.1,100,7,TRUE,11/23/16 15:10,R_1EXNAe80CgSSpnt,,,,,34.4141859,-119.859201,anonymous,,,1,,,,,2,1,,,,,
11/23/16 15:10,11/23/16 15:11,IP Address,192.168.1.1,100,18,TRUE,11/23/16 15:11,R_2dGX2kpr5mIa6pw,,,,,34.4141859,-119.859201,anonymous,1,2,,,,,1,,,2,3,,,
11/23/16 15:12,11/23/16 15:12,IP Address,192.168.1.1,100,12,TRUE,11/23/16 15:12,R_3nrBUZ9pGUL3E9x,,,,,34.4141859,-119.859201,anonymous,2,3,1,,,2,3,,1,,,,,
11/23/16 15:12,11/23/16 15:12,IP Address,192.168.1.1,100,22,TRUE,11/23/16 15:12,R_2YySOqCazC9hV4B,,,,,34.4141859,-119.859201,anonymous,1,,2,,,,,2,1,,,,,
11/23/16 15:19,11/23/16 15:19,IP Address,192.168.1.1,100,20,TRUE,11/23/16 15:19,R_2uDQQcsJG2SyLSW,,,,,34.4141859,-119.859201,anonymous,1,,2,3,Cheese,,1,,,2,,3,Nobody,Unknown
